43078.70427720574	43078.613603601145	43078.62442288746	43078.872997972496	43078.613603601145	43078.56093446819	43078.55956132492	43078.80805332683	43078.62442288746	43078.55956132492	43078.58540421312	43078.819437200014	43078.872997972496	43078.80805332683	43078.819437200014	43079.12630972912
43078.84606463235	43078.76417356488	43078.77048922827	43079.06356270644	43078.76417356488	43078.715971071964	43078.710495563675	43079.00349107458	43078.77048922827	43078.710495563675	43078.733613497454	43079.0105758413	43079.06356270644	43079.00349107458	43079.0105758413	43079.373010914394
43078.83323193348	43078.7410347546	43078.76394706648	43079.041516980025	43078.7410347546	43078.68580286608	43078.694152588	43078.97167324448	43078.76394706648	43078.694152588	43078.730201748986	43078.99511620021	43079.041516980025	43078.97167324448	43078.99511620021	43079.33993594592
43078.86388268457	43078.76313131729	43078.79493976185	43079.07275154263	43078.76313131729	43078.70253368803	43078.71807585898	43078.99585578632	43078.79493976185	43078.71807585898	43078.76146164758	43079.028105455065	43079.07275154263	43078.99585578632	43079.028105455065	43079.374125172166
43078.922117115464	43078.8281357042	43078.85419462402	43079.153501491535	43078.8281357042	43078.771676493816	43078.78265127859	43079.08192572027	43078.85419462402	43078.78265127859	43078.82123769944	43079.108524115654	43079.153501491535	43079.08192572027	43079.108524115654	43079.481324951164
43079.01969161178	43078.92834722761	43078.95250183676	43079.28022314955	43078.92834722761	43078.873503201896	43078.88301557365	43079.210713482185	43078.95250183676	43078.88301557365	43078.92001229219	43079.235486340694	43079.28022314955	43079.210713482185	43079.235486340694	43079.6442288903
43078.91784248641	43078.80899706842	43078.84618141918	43079.13220329514	43078.80899706842	43078.743825488134	43078.76376312285	43079.04976634439	43078.84618141918	43078.76376312285	43078.81152119859	43079.08734691296	43079.13220329514	43079.04976634439	43079.08734691296	43079.44437297742
43078.84184710313	43078.73565145659	43078.76295932247	43079.033905507196	43078.73565145659	43078.67362270191	43078.68610356859	43078.957002424504	43078.76295932247	43078.68610356859	43078.72479168901	43078.98474611037	43079.033905507196	43078.957002424504	43078.98474611037	43079.32214082292
43078.67825873195	43078.56257272886	43078.58552656838	43078.80936447651	43078.56257272886	43078.49684575822	43078.50599863137	43078.72975862819	43078.58552656838	43078.50599863137	43078.540617986444	43078.75308689877	43078.80936447651	43078.72975862819	43078.75308689877	43079.03043542545
43078.58710093926	43078.48101529243	43078.494417335256	43078.70253254475	43078.48101529243	43078.42099809273	43078.42211568932	43078.63013697635	43078.494417335256	43078.42211568932	43078.44926030203	43078.64395938003	43078.70253254475	43078.63013697635	43078.64395938003	43078.9001290754
43078.61646536159	43078.52622498068	43078.54532962284	43078.76707723021	43078.52622498068	43078.47198364914	43078.47670261996	43078.69836383218	43078.54532962284	43078.47670261996	43078.510288505306	43078.71792883886	43078.76707723021	43078.69836383218	43078.71792883886	43078.991001913826
43078.653304503765	43078.5627548598	43078.58046389088	43078.81255271898	43078.5627548598	43078.508807484366	43078.51266154901	43078.744669732405	43078.58046389088	43078.51266154901	43078.54470214732	43078.76286280956	43078.81255271898	43078.744669732405	43078.76286280956	43079.049173126725
